('Basic EPS', '-', '0.74', '-0.98', '-1.14', '-2.37')
         367450 function calls (353030 primitive calls) in 1.187 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       99    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
       99    0.002    0.000    0.004    0.000 sre_compile.py:492(_get_charset_prefix)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       99    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       99    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     99/6    0.000    0.000    0.226    0.038 <frozen importlib._bootstrap>:663(_load_unlocked)
     95/1    0.001    0.000    1.187    1.187 {built-in method builtins.exec}
       95    0.000    0.000    0.000    0.000 enum.py:628(value)
       94    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       94    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       90    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       90    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       90    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       88    0.000    0.000    0.000    0.000 os.py:755(decode)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
       83    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       82    0.000    0.000    0.001    0.000 enum.py:830(__or__)
       78    0.000    0.000    0.392    0.005 {method 'readline' of '_io.BufferedReader' objects}
       78    0.000    0.000    0.000    0.000 element.py:1536(__eq__)
       77    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       77    0.001    0.000    0.006    0.000 css_parser.py:474(parse_attribute_selector)
       76    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
       76    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
       76    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       76    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
     76/6    0.000    0.000    0.226    0.038 <frozen importlib._bootstrap_external>:722(exec_module)
       76    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       76    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       76    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       75    0.000    0.000    0.000    0.000 element.py:1456(get)
       75    0.000    0.000    0.000    0.000 typing.py:652(__eq__)
    72/71    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       68    0.000    0.000    0.000    0.000 typing.py:314(__eq__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       63    0.000    0.000    0.000    0.000 typing.py:348(<genexpr>)
       61    0.000    0.000    0.000    0.000 dammit.py:2409(<listcomp>)
       58    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       58    0.000    0.000    0.000    0.000 client.py:516(_read_next_chunk_size)
       58    0.000    0.000    0.001    0.000 client.py:546(_get_chunk_left)
       54    0.000    0.000    0.000    0.000 typing.py:626(<genexpr>)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       53    0.000    0.000    0.000    0.000 re.py:252(escape)
       53    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
       52    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       52    0.000    0.000    0.004    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.019    0.001 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       51    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
       51    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
       50    0.000    0.000    0.000    0.000 enum.py:623(name)
       49    0.000    0.000    0.001    0.000 typing.py:630(copy_with)
       48    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       46    0.000    0.000    0.001    0.000 typing.py:741(__getitem__)
       46    0.000    0.000    0.000    0.000 os.py:696(__iter__)
       46    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
       45    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       45    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
       45    0.000    0.000    0.000    0.000 os.py:751(encode)
       44    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
